oOd0IKWwg1E,프론트엔드 개발자 vs 백엔드 개발자 (Frontend vs Backend),노마드 코더 Nomad Coders,2018-08-29,1

PnhmeFakkXg,무엇을 언제 써야할까? Node JS vs Django!,노마드 코더 Nomad Coders,2018-08-02,1

rjiU7S5Q9-w,개발자 되려면 얼마나 걸리나요? 라는 질문에 (How long does it take to become a developer?),노마드 코더 Nomad Coders,2018-07-31,1

_lr4f3I0Lgo,Typescript로 블록체인 만들기 - #12 Conclusions,노마드 코더 Nomad Coders,2018-05-21,1

PhZREXzhXjo,JavaScript로 비트코인 클론코딩 - 블록 구조 만들기 (Bitcoin Clone with JS #3 Creating the block structure),노마드 코더 Nomad Coders,2018-03-11,1

VR5s_PmW3-E,"왕초보를 위한 AWS RDS, EC2, S3",노마드 코더 Nomad Coders,2018-01-10,1

8oIJ26CNPXQ,"백엔드의 기본 원리, 언제 백엔드가 필요한가? (How does a backend works?)",노마드 코더 Nomad Coders,2017-11-06,1

70TZCtvEJ_4,최종 완성본 ReactJS로 웹 서비스 만들기 (Final Result),노마드 코더 Nomad Coders,2017-09-28,1

XJetYSvPZRg,AI 개념 정리 #shorts,노마드 코더 Nomad Coders,2023-03-09,1

Cnbmrh99c1o,대 AI 시대. 현직 개발자의 공부 방법?,노마드 코더 Nomad Coders,2023-02-22,1

47BL6WLZJ1g,미친 파이썬 프레임워크가 나타났다.,노마드 코더 Nomad Coders,2023-01-15,1

CIrR0-nkPfI,요즘 인공지능 미쳤습니다.. 현직 개발자 반응!,노마드 코더 Nomad Coders,2022-12-11,1

tLLs7fKts2o,카카오 사태로 필수개념된 DR 시스템? 설명 10분컷!,노마드 코더 Nomad Coders,2022-10-23,1

UJTAGM6yo6g,연휴 특집 🍚 코딩 기초 상식 100분 몰아보기 | 누구나 이해 가능!,노마드 코더 Nomad Coders,2022-09-08,1

t9RrazHQfJQ,요즘 난리난 DALL-E 2 작동원리 10분컷!,노마드 코더 Nomad Coders,2022-07-24,1

